,Journal,Article Title,Year,Affiliation,Country
3545,Antonie van Leeuwenhoek,"Bacillus pakistanensis sp. nov., a halotolerant bacterium isolated from salt mines of the Karak Area in Pakistan.",2014,"National Culture Collection of Pakistan (NCCP), National Institute for Genomics and Advanced Biotechnology (NIGAB), National Agricultural Research Center (NARC), Park Road, Islamabad, 45500, Pakistan.",pakistan
3611,Antonie van Leeuwenhoek,"Pedobacter seoulensis sp. nov., isolated from soil of a bamboo field.",2014,"Department of Clinical Laboratory Sciences and Medical Biotechnology, National Taiwan University College of Medicine, Taipei, Taiwan, ROC.",taiwan
3614,International journal of systematic and evolutionary microbiology,"Rhodanobacter glycinis sp. nov., a yellow-pigmented gammaproteobacterium isolated from the rhizoplane of field-grown soybean.",2014,"Department of Agricultural Microbiology, Tamilnadu Agricultural University, Coimbatore 641 003, Tamilnadu, India Biomaterials and Biocatalysts, Temasek Life Sciences Laboratory, National University of Singapore, Singapore 117604 mmadhaiyan@hotmail.com.",singapore
3624,Microbes and environments,"The growth of Steroidobacter agariperforans sp. nov., a novel agar-degrading bacterium isolated from soil, is enhanced by the diffusible metabolites produced by bacteria belonging to Rhizobiales.",2014,"Faculty of Agriculture, Kagoshima University.",japan
3625,Journal of environmental biology,Isolation and characterization of a novel bacterial strain Shewanella marinisediminis sp. nov. from deep-sea sediments.,2013,"Faculty of Agriculture, Kagoshima University.",japan
3630,Archives of microbiology,"Petrotoga japonica sp. nov., a thermophilic, fermentative bacterium isolated from Yabase Oilfield in Japan.",2014,"School of Life Science and Technology, Bandung Institute of Technology, Ganesha 10, Bandung, West Java, 40132, Indonesia, isty@sith.itb.ac.id.",indonesia
3643,International journal of systematic and evolutionary microbiology,"Description of Helicobacter valdiviensis sp. nov., an Epsilonproteobacteria isolated from wild bird faecal samples.",2014,"Institute of Biochemistry and Microbiology, Faculty of Sciences, Universidad Austral de Chile, Valdivia, Chile luiscollado@uach.cl.",chile
3695,The Journal of general and applied microbiology,"Sediminicoccus rosea gen. nov. sp. nov., isolated from the sediment of a eutrophic lake.",2013,"College of Biological Engineering, Henan University of Technology.",china
3741,International journal of systematic and evolutionary microbiology,"Cyclobacterium halophilum sp. nov., a marine bacterium isolated from a coastal-marine wetland.",2014,"Microorganisms Bank, Iranian Biological Resource Centre (IBRC), ACECR, Tehran, Iran.",iran
3776,International journal of systematic and evolutionary microbiology,"Alloactinosynnema iranicum sp. nov., a rare actinomycete isolated from a hypersaline wetland, and emended description of the genus Alloactinosynnema.",2014,"Microorganisms Bank, Iranian Biological Resource Centre (IBRC), ACECR Tehran, Iran.",iran
3799,Biocontrol science,"Roseomonas tokyonensis sp. nov. isolated from a biofilm sample obtained from a cooling tower in Tokyo, Japan.",2013,"School of Life and Environmental Science, Azabu University.",japan
3810,The Journal of antibiotics,"Saccharopolyspora ghardaiensis sp. nov., an extremely halophilic actinomycete isolated from Algerian Saharan soil.",2014,"1] Laboratoire de Biologie des Systèmes Microbiens (LBSM), Ecole Normale Supérieure de Kouba, Alger, Algeria [2] Faculté des sciences Agronomiques, Vétérinaires et Biologiques, Département de Biologie, Université Saâd Dahleb, Blida, Algeria.",algeria
3818,Antonie van Leeuwenhoek,"Sphingobacterium pakistanensis sp. nov., a novel plant growth promoting rhizobacteria isolated from rhizosphere of Vigna mungo.",2014,"National Culture Collection of Pakistan (NCCP), National Institute for Genomics and Advanced Biotechnology (NIGAB), National Agricultural Research Center (NARC), Park Road, Islamabad, 45500, Pakistan, iftikharnarc@hotmail.com.",pakistan
3827,International journal of systematic and evolutionary microbiology,Phyllobacterium loti sp. nov. isolated from nodules of Lotus corniculatus.,2014,"Laboratorio de Bioquímica, Facultad de Agronomía, Universidad de la República, Montevideo, Uruguay.",uruguay
3848,The Journal of general and applied microbiology,"Idiomarina piscisalsi sp. nov., from fermented fish (pla-ra) in Thailand.",2013,"Department of Biochemistry and Microbiology, Faculty of Pharmaceutical Sciences, Chulalongkorn University.",thailand
3849,The Journal of general and applied microbiology,"Swingsia samuiensis gen. nov., sp. nov., an osmotolerant acetic acid bacterium in the α-Proteobacteria.",2013,"BIOTEC Culture Collection (BCC), National Center for Genetic Engineering and Biotechnology (BIOTEC), National Science and Technology Development Agency (NSTDA).",thailand
3850,The Journal of general and applied microbiology,"Sphingobacterium ginsenosidimutans sp. nov., a bacterium with ginsenoside-converting activity isolated from the soil of a ginseng field.",2013,"Department of Oriental Medicinal Material & Processing College of Life Sciences, Kyung Hee University.",south korea
3901,Antonie van Leeuwenhoek,Fontibacillus phaseoli sp. nov. isolated from Phaseolus vulgaris nodules.,2014,"Department of Microbial & Nano Materials, Mokwon University, Daejeon 302-729, Republic of Korea.",south korea
3902,Antonie van Leeuwenhoek,"Caldimonas meghalayensis sp. nov., a novel thermophilic betaproteobacterium isolated from a hot spring of Meghalaya in northeast India.",2013,"Department of Microbial & Nano Materials, Mokwon University, Daejeon 302-729, Republic of Korea.",south korea
3924,Antonie van Leeuwenhoek,"Desulfotomaculum tongense sp. nov., a moderately thermophilic sulfate-reducing bacterium isolated from a hydrothermal vent sediment collected from the Tofua Arc in the Tonga Trench.",2013,"Key Laboratory of Biogeography and Bioresource in Arid Land, Xinjiang Institute of Ecology and Geography, Chinese Academy of Sciences, Ürűmqi, 830011, People's Republic of China.",china
3959,Antonie van Leeuwenhoek,"Pseudoalteromonas xishaensis sp. nov., isolated from Acanthaster planci in the Xisha islands.",2013,"Aix Marseille Université, CNRS/INSU, IRD, Mediterranean Institute of Oceanography (MIO), UM 110, 13288 Marseille.",france
3960,Antonie van Leeuwenhoek,"Coralslurrinella hongkonensis gen. nov., sp. nov., a novel bacterium in the family Psychromonadaceae, isolated from the coral Platygyra carnosus.",2013,"Aix Marseille Université, CNRS/INSU, IRD, Mediterranean Institute of Oceanography (MIO), UM 110, 13288 Marseille.",france
3968,Systematic and applied microbiology,"Mycoplasma feriruminatoris sp. nov., a fast growing Mycoplasma species isolated from wild Caprinae.",2013,"International Livestock Research Institute, PO Box 30709, 00100 Nairobi, Kenya. Electronic address: jores@web.de.",kenya
4019,International journal of systematic and evolutionary microbiology,"Myroides guanonis sp. nov., isolated from prehistoric paintings.",2013,"Institute of Microbiology, Bulgarian Academy of Sciences, 'Acad. G. Bonchev' Str. 26, 1113 Sofia, Bulgaria.",bulgaria
4071,International journal of systematic and evolutionary microbiology,"Pseudomonas guariconensis sp. nov., isolated from rhizospheric soil.",2013,"Laboratorio de Estudios Ambientales, Instituto de Zoología Tropical, Facultad de Ciencias, Universidad Central de Venezuela, Caracas, Venezuela.",venezuela
4101,Mikrobiologiia,[Spirosoma xylofaga sp. nov. - oligotrophic pleomorphic bacterium of mycobacterial consortia of fresh water ecosystem].,2013,"Department of Science Education, Jeju National University, Jeju 690-756, Republic of Korea.",south korea
4122,Antonie van Leeuwenhoek,"Actinopolyspora righensis sp. nov., a novel halophilic actinomycete isolated from Saharan soil in Algeria.",2013,"Laboratoire de Biologie des Systèmes Microbiens, Ecole Normale Supérieure de Kouba, Alger, Algeria.",algeria
4176,International journal of systematic and evolutionary microbiology,"Actinopolyspora mzabensis sp. nov., a halophilic actinomycete isolated from an Algerian Saharan soil.",2013,"Laboratoire de Biologie des Systèmes Microbiens (LBSM), Ecole Normale Supérieure de Kouba, Alger, Algeria.",algeria
4194,International journal of systematic and evolutionary microbiology,"Saccharothrix saharensis sp. nov., an actinomycete isolated from Algerian Saharan soil.",2013,"Laboratoire de Biologie des Systèmes Microbiens (LBSM), Ecole Normale Supérieure de Kouba, Alger, Algeria.",algeria
4222,Systematic and applied microbiology,"Definition of a novel symbiovar (sv. retamae) within Bradyrhizobium retamae sp. nov., nodulating Retama sphaerocarpa and Retama monosperma.",2013,"Laboratoire de Biologie des Plantes et des Microorganismes, Faculté des Sciences, Université Mohamed Premier, Oujda, Morocco.",morocco
4266,International journal of systematic and evolutionary microbiology,"Marinococcus tarijensis sp. nov., a moderately halophilic bacterium isolated from a salt mine.",2013,"Center of Biotechnology, Faculty of Sciences and Technology, Universidad Mayor de San Simón, Cochabamba, Bolivia.",bolivia
4337,International journal of systematic and evolutionary microbiology,"Paenisporosarcina indica sp. nov., a psychrophilic bacterium from a glacier, and reclassification of Sporosarcina antarctica Yu et al., 2008 as Paenisporosarcina antarctica comb. nov. and emended description of the genus Paenisporosarcina.",2013,"Centre for Cellular and Molecular Biology Uppal Road, Hyderabad 500 007, India.",india
4376,International journal of systematic and evolutionary microbiology,"Iodobacter arcticus sp. nov., a psychrotolerant bacterium isolated from meltwater stream sediment of an Arctic glacier.",2013,"CSIR-Centre for Cellular and Molecular Biology Uppal Road, Hyderabad 500 007, India. shivas@ccmb.res.in",india
4399,Systematic and applied microbiology,"Gluconacetobacter maltaceti sp. nov., a novel vinegar producing acetic acid bacterium.",2013,"University of Maribor, Faculty of Natural Sciences and Mathematics, Department of Biology, Maribor, Slovenia.",slovenia
4424,Antonie van Leeuwenhoek,"Exiguobacterium himgiriensis sp. nov. a novel member of the genus Exiguobacterium, isolated from the Indian Himalayas.",2013,"A Constituent Laboratory of Council of Scientific and Industrial Research (CSIR), Chandigarh, India.",india
4429,International journal of systematic and evolutionary microbiology,"Pleomorphomonas diazotrophica sp. nov., an endophytic N-fixing bacterium isolated from root tissue of Jatropha curcas L.",2013,"Biomaterials and Biocatalysts Group, Temasek Life Sciences Laboratory, 1 Research Link, National University of Singapore, Singapore.",singapore
4439,Antonie van Leeuwenhoek,"Actinopolyspora saharensis sp. nov., a novel halophilic actinomycete isolated from a Saharan soil of Algeria.",2013,"Laboratoire de Biologie des Systèmes Microbiens (LBSM), Ecole Normale Supérieure de Kouba, Alger, Algeria.",algeria
4441,Antonie van Leeuwenhoek,Isolation and characterization of a novel violacein-like pigment producing psychrotrophic bacterial species Janthinobacterium svalbardensis sp. nov.,2013,"Department of Biology, Chair for Molecular Genetics and Biology of Microorganisms, University of Ljubljana, Biotechnical Faculty, Večna Pot 111, 1000, Ljubljana, Slovenia.",slovenia
4498,Journal of bacteriology,"Draft genome sequence of Pontibacter sp. nov. BAB1700, a halotolerant, industrially important bacterium.",2012,"Gujarat State Biotechnology Mission, Department of Science & Technology, Udyog Bhavan, Gandhinagar, Gujarat, India.",india
4528,International journal of systematic and evolutionary microbiology,"Caldicoprobacter guelmensis sp. nov., a thermophilic, anaerobic, xylanolytic bacterium isolated from a hot spring.",2013,"Laboratoire de Biologie Cellulaire et Moléculaire (Equipe de Microbiologie) Faculté de Biologie-Université des Sciences et de la Technologie Houari Boumediene, Bab ezzouar, Alger, Algérie.",algeria
4590,International journal of systematic and evolutionary microbiology,"Aureimonas jatrophae sp. nov. and Aureimonas phyllosphaerae sp. nov., leaf-associated bacteria isolated from Jatropha curcas L.",2013,"Biomaterials and Biocatalysts Group, Temasek Life Sciences Laboratory (TLL), 1 Research Link, National University of Singapore (NUS), Singapore 117604.",singapore
4604,International journal of systematic and evolutionary microbiology,"Winogradskyella psychrotolerans sp. nov., a marine bacterium of the family Flavobacteriaceae isolated from Arctic sediment.",2013,"Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad-500 007, India.",india
4605,International journal of systematic and evolutionary microbiology,"Arcticibacter svalbardensis gen. nov., sp. nov., of the family Sphingobacteriaceae in the phylum Bacteroidetes, isolated from Arctic soil.",2013,"Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad-500 007, India.",india
4632,Extremophiles : life under extreme conditions,"Actinopolyspora algeriensis sp. nov., a novel halophilic actinomycete isolated from a Saharan soil.",2012,"Laboratoire de Biologie des Systèmes Microbiens (LBSM), Ecole Normale Supérieure de Kouba, B.P. 92, 16 050 Kouba, Alger, Algeria. atika_mek@yahoo.fr",algeria
4656,International journal of systematic and evolutionary microbiology,"Jatrophihabitans endophyticus gen. nov., sp. nov., an endophytic actinobacterium isolated from a surface-sterilized stem of Jatropha curcas L.",2013,"Biomaterials and Biocatalysts Group, Temasek Life Sciences Laboratory, 1 Research Link, National University of Singapore, Singapore 117604.",singapore
4672,Systematic and applied microbiology,Bradyrhizobium rifense sp. nov. isolated from effective nodules of Cytisus villosus grown in the Moroccan Rif.,2012,"Department of Biology, Faculty of Sciences and Techniques, University Abdelmalek Essaadi, Tangier, Morocco.",morocco
4684,International journal of systematic and evolutionary microbiology,"Litorilinea aerophila gen. nov., sp. nov., an aerobic member of the class Caldilineae, phylum Chloroflexi, isolated from an intertidal hot spring.",2013,"Matís, Vínlandsleið 12, IS-113 Reykjavík, Iceland.",iceland
4771,International journal of systematic and evolutionary microbiology,"Lacinutrix himadriensis sp. nov., a psychrophilic bacterium isolated from a marine sediment, and emended description of the genus Lacinutrix.",2013,"Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad-500 007, India.",india
4806,International journal of systematic and evolutionary microbiology,"Saccharothrix hoggarensis sp. nov., an actinomycete isolated from Saharan soil.",2013,"Laboratoire de Biologie des Systèmes Microbiens (LBSM), Ecole Normale Supérieure de Kouba, BP 92, 16 050 Kouba, Algiers, Algeria.",algeria
5003,Mikrobiologiia,"[Magnetospirillum aberrantis sp. nov., a new freshwater bacterium with magnetic inclusions].",2011,"Institute of Ecology and Genetics of Microorganisms, Russian Academy of Sciences, Ural Branch, 13, Goleva str., Perm, 614081, Russia. peg@iegm.ru",russia
5050,International journal of systematic and evolutionary microbiology,"Cecembia lonarensis gen. nov., sp. nov., a haloalkalitolerant bacterium of the family Cyclobacteriaceae, isolated from a haloalkaline lake and emended descriptions of the genera Indibacter, Nitritalea and Belliella.",2012,"Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad 500 007, India.",india
5078,International journal of systematic and evolutionary microbiology,"Cyclobacterium qasimii sp. nov., a psychrotolerant bacterium isolated from Arctic marine sediment.",2012,"Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad-500 007, Andhra Pradesh, India. shivas@ccmb.res.in",india
5093,International journal of systematic and evolutionary microbiology,"Lutibaculum baratangense gen. nov., sp. nov., a proteobacterium isolated from a mud volcano.",2012,"Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad-500 007, India.",india
5099,International journal of systematic and evolutionary microbiology,"Oceanisphaera arctica sp. nov., isolated from Arctic marine sediment, and emended description of the genus Oceanisphaera.",2012,"Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad 500 007, India.",india
5167,Emerging infectious diseases,"Mycoplasma leachii sp. nov. in calves, China.",2011,"Environmental Biotechnology Research Centre, Korea Research Institute of Bioscience & Biotechnology, Yuseong-gu, Daejeon, Republic of Korea.",south korea
5219,Mikrobiologiia,[A new large alkaliphilic purple sulfur bacteria Ectothiorhodospira magna sp. nov].,2010,"Microbiologia, Departament de Biologia, Universitat de les Illes Balears, 07122 Palma de Mallorca, Illes Balears, Spain.",spain
5324,International journal of systematic and evolutionary microbiology,"Bacillus iranensis sp. nov., a moderate halophile from a hypersaline lake.",2012,"Microorganisms Bank, Iranian Biological Resource Centre (IBRC), ACECR, Teheran, Iran.",iran
5475,International journal of systematic and evolutionary microbiology,"Bradyrhizobium cytisi sp. nov., isolated from effective nodules of Cytisus villosus.",2011,"Department of Biology, Faculty of Sciences and Techniques, University Abdelmalek Essaadi, Tangier, Morocco.",morocco
5527,International journal of systematic and evolutionary microbiology,"Methylogaea oryzae gen. nov., sp. nov., a mesophilic methanotroph isolated from a rice paddy field.",2011,"Cátedra de Microbiología, Facultad de Química y Facultad de Ciencias, Universidad de la República-UDELAR, CC1157 Montevideo, Uruguay.",uruguay
5575,Current microbiology,"Caldicoprobacter algeriensis sp. nov. a new thermophilic anaerobic, xylanolytic bacterium isolated from an Algerian hot spring.",2011,"Laboratoire de Biologie Cellulaire et Moléculaire (équipe de Microbiologie), Université des sciences et de la technologie Houari Boumédiènne, Bab Ezzouar, Algiers, Algeria.",algeria
5642,International journal of systematic and evolutionary microbiology,"Mycobacterium algericum sp. nov., a novel rapidly growing species related to the Mycobacterium terrae complex and associated with goat lung lesions.",2011,"Veterinary Department, University Saad Dahlab, Blida, Algeria.",algeria
5712,International journal of systematic and evolutionary microbiology,"Cesiribacter andamanensis gen. nov., sp. nov., isolated from a soil sample from a mud volcano.",2011,"Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad 500 007, India.",india
5746,International journal of systematic and evolutionary microbiology,"Halomonas vilamensis sp. nov., isolated from high-altitude Andean lakes.",2011,"Cátedra de Microbiología, Facultad de Química y Facultad de Ciencias, UDELAR C.C. 1157. Montevideo, Uruguay.",uruguay
5785,International journal of systematic and evolutionary microbiology,"Streptomyces youssoufiensis sp. nov., isolated from a Moroccan phosphate mine.",2011,"Faculté de Sciences Semlalia, Université Cadi Ayyad, Laboratoire de Biologie et de Biotechnologie des Microorganismes, Marrakesh, Morocco.",morocco
5861,Mikrobiologiia,[Xanthobacter xylophilus sp.nov.--an xylotrophic myco-bacterial association from fresh water].,2010,"Department of Microbiology, Institute of Biology, University of Bialystok, Swierkowa 20 B, 15-950 Bialystok, Poland. thausch@uwb.edu.pl <thausch@uwb.edu.pl>",poland
5862,Systematic and applied microbiology,"Pseudomonas arsenicoxydans sp nov., an arsenite-oxidizing strain isolated from the Atacama desert.",2010,"Microbiology Department, Biological Science Faculty, Concepción University, P.O. Box 160-C, Concepción, Chile. vcampos@udec.cl <vcampos@udec.cl>",chile
5893,International journal of systematic and evolutionary microbiology,"Indibacter alkaliphilus gen. nov., sp. nov., an alkaliphilic bacterium isolated from a haloalkaline lake.",2010,"Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad 500 007, India.",india
5933,International journal of systematic and evolutionary microbiology,"Hydrogenophilus islandicus sp. nov., a thermophilic hydrogen-oxidizing bacterium isolated from an Icelandic hot spring.",2011,"Faculty of Natural Resource Science, University of Akureyri, Borgir v. Nordurslod, 600 Akureyri, Iceland.",iceland
5969,International journal of systematic and evolutionary microbiology,"Thiomonas islandica sp. nov., a moderately thermophilic, hydrogen- and sulfur-oxidizing betaproteobacterium isolated from a hot spring.",2011,"Faculty of Natural Resource Science, University of Akureyri, Borgir v. Nordurslod, 600 Akureyri, Iceland.",iceland
6037,International journal of systematic and evolutionary microbiology,"Rhodothermus profundi sp. nov., a thermophilic bacterium isolated from a deep-sea hydrothermal vent in the Pacific Ocean.",2010,"Matis Vinlandsleid 12, IS-113, Reykjavik, Iceland. viggo.th.marteinsson@matis.is",iceland
6088,International journal of systematic and evolutionary microbiology,"Nitritalea halalkaliphila gen. nov., sp. nov., an alkaliphilic bacterium of the family 'Cyclobacteriaceae', phylum Bacteroidetes.",2010,"Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad - 500 007, India.",india
6093,International journal of systematic and evolutionary microbiology,"Actinokineospora baliensis sp. nov., Actinokineospora cibodasensis sp. nov. and Actinokineospora cianjurensis sp. nov., isolated from soil and plant litter.",2010,"Research Center for Biotechnology, Indonesian Institute of Sciences, Jl. Raya Bogor Km. 46, Cibinong 16911, Indonesia. puspita.lisdiyanti@lipi.go.id",indonesia
6120,International journal of systematic and evolutionary microbiology,"Weissella beninensis sp. nov., a motile lactic acid bacterium from submerged cassava fermentations, and emended description of the genus Weissella.",2010,"Departement de Nutrition et Sciences Alimentaires, Université d'Abomey-Calavi, Cotonou, Bénin.",benin
6141,Mikrobiologiia,[Natronincola ferrireducens sp.nov. and Natronincola peptidovorans sp.nov.- new anaerobic alkaliphilic peptide lysing and iron reducing bacteria from soda lake ].,2009,"Department of Biological Science, Sunchon National University, Suncheon 540-742, Republic of Korea.",south korea
6142,Mikrobiologiia,[New alkaliphilic peptide fermenting and Fe(III) regenerating bacteria Alkaliphilus peptidofermentans sp.nov. from soda lake].,2009,"Department of Biological Science, Sunchon National University, Suncheon 540-742, Republic of Korea.",south korea
6165,International journal of systematic and evolutionary microbiology,"Paenibacillus glacialis sp. nov., isolated from the Kafni glacier of the Himalayas, India.",2010,"Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad 500 007, India.",india
6166,International journal of systematic and evolutionary microbiology,"Arthrobacter antarcticus sp. nov., isolated from an Antarctic marine sediment.",2010,"Centre for Cellular and Molecular Biology, Hyderabad 500 007, India.",india
6183,International journal of systematic and evolutionary microbiology,"Chryseobacterium solincola sp. nov., isolated from soil.",2010,"Laboratoire de Microbiologie, Département de BCM, Faculté des sciences biologiques, Université des Sciences et de Technologie Houari Boumédiène, Bab Ezzouar, Alger, Algeria.",algeria
6225,International journal of systematic and evolutionary microbiology,"Ochrobactrum ciceri sp. nov., isolated from nodules of Cicer arietinum.",2010,"National Institute for Biotechnology and Genetic Engineering (NIBGE), Faisalabad, Pakistan. asmaaslam2001@yahoo.com",pakistan
6281,International journal of systematic and evolutionary microbiology,"Rickettsia hoogstraalii sp. nov., isolated from hard- and soft-bodied ticks.",2010,"University of Ljubljana, Institute of Microbiology and Immunology, Ljubljana, Slovenia. darja.duh@mf.uni-lj.si",slovenia
6337,International journal of systematic and evolutionary microbiology,"Cryobacterium roopkundense sp. nov., a psychrophilic bacterium isolated from glacial soil.",2010,"Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad 500007, India.",india
6355,International journal of systematic and evolutionary microbiology,"Multilocus sequence analysis of root nodule isolates from Lotus arabicus (Senegal), Lotus creticus, Argyrolobium uniflorum and Medicago sativa (Tunisia) and description of Ensifer numidicus sp. nov. and Ensifer garamanticus sp. nov.",2010,"Laboratoire de Rhizobiologie, Université d'Oran, Es-Senia, Algeria.",algeria
6456,International journal of systematic and evolutionary microbiology,"Chryseobacterium piscicola sp. nov., isolated from diseased salmonid fish.",2009,"Laboratorio de Veterquímica, Camino Melipilla 5641, Cerrillos, Santiago, Chile.",chile
6465,International journal of systematic and evolutionary microbiology,"Streptomyces thinghirensis sp. nov., isolated from rhizosphere soil of Vitis vinifera.",2009,"Laboratoire de Biologie et Biotechnologie des Microorganismes, Faculté des Sciences Semlalia, Université Cadi Ayyad, B.P S-2390, Marrakech, Morocco.",morocco
6469,International journal of systematic and evolutionary microbiology,"Janibacter hoylei sp. nov., Bacillus isronensis sp. nov. and Bacillus aryabhattai sp. nov., isolated from cryotubes used for collecting air from the upper atmosphere.",2009,"Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad 500 007, India. shivas@ccmb.res.in",india
6504,International journal of systematic and evolutionary microbiology,"Streptomyces marokkonensis sp. nov., isolated from rhizosphere soil of Argania spinosa L.",2009,"Faculté des Sciences Semlalia, Université Cadi Ayyad, Marrakech, Morocco. b.bouizgarne@ucam.ac.ma",morocco
6513,International journal of systematic and evolutionary microbiology,"Thermus islandicus sp. nov., a mixotrophic sulfur-oxidizing bacterium isolated from the Torfajokull geothermal area.",2009,"Matis-Prokaria, Gylfaflot 5, IS-112 Reykjavik, Iceland.",iceland
6515,International journal of systematic and evolutionary microbiology,"Bhargavaea cecembensis gen. nov., sp. nov., isolated from the Chagos-Laccadive ridge system in the Indian Ocean.",2009,"Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad 500 007, India.",india
6634,Mikrobiologiia,"[Phylogeny of the purple sulfur bacterium Thiocapsa sp. strain BBS on the basis of analysis of 16S rRNA, cbbL and nifN and description of new species Thiocapsa bogorovii sp.nov].",2009,"Kitasato Institute for Life Sciences, Kitasato University, Tokyo, Japan.",japan
6741,International journal of systematic and evolutionary microbiology,Description of Leifsonia kafniensis sp. nov. and Leifsonia antarctica sp. nov.,2009,"Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad 500 007, India.",india
6811,International journal of systematic and evolutionary microbiology,"Desulfovibrio marrakechensis sp. nov., a 1,4-tyrosol-oxidizing, sulfate-reducing bacterium isolated from olive mill wastewater.",2009,"Anaerobic Microbiology Team (E02B26), Sciences and Techniques Faculty, Cadi Ayyad University, PO Box 549, 40 000 Marrakech, Morocco.",morocco
6818,Mikrobiologiia,"[Halomonas chromatireducens sp. nov., a new denitrifying facultatively haloalkaliphilic bacterium from soda salt marshes capable of aerobic chromate reduction].",2009,"Key Laboratory for Conservation and Utilization of Plant Resources of Hunan Province, College of Biology and Environmental Sciences, Jishou University, Jishou, People's Republic of China. mchenjsu@yahoo.com.cn",china
6819,Mikrobiologiia,"[Roseococcus suduntuyensis sp. nov., a new aerobic bacteriochlorophyll A-containing bacterium isolated from a low-mineralized soda lake of Eastern Siberia].",2009,"Key Laboratory for Conservation and Utilization of Plant Resources of Hunan Province, College of Biology and Environmental Sciences, Jishou University, Jishou, People's Republic of China. mchenjsu@yahoo.com.cn",china
6820,Mikrobiologiia,[Novel halotolerant bacterium from cryopeg in permafrost: description of Psychrobacter muriicola sp. nov].,2009,"Key Laboratory for Conservation and Utilization of Plant Resources of Hunan Province, College of Biology and Environmental Sciences, Jishou University, Jishou, People's Republic of China. mchenjsu@yahoo.com.cn",china
7004,FEMS microbiology letters,"Treponema zioleckii sp. nov., a novel fructan-utilizing species of rumen treponemes.",2008,"Institute of Animal Physiology, Slovak Academy of Sciences, Kosice, Slovak Republic.",slovak republic
7049,International journal of systematic and evolutionary microbiology,"Exiguobacterium soli sp. nov., a psychrophilic bacterium from the McMurdo Dry Valleys, Antarctica.",2008,"Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad 500 007, India.",india
7063,International journal of systematic and evolutionary microbiology,"Anoxybacillus bogrovensis sp. nov., a novel thermophilic bacterium isolated from a hot spring in Dolni Bogrov, Bulgaria.",2008,"Institute of Microbiology, Bulgarian Academy of Sciences, Acad. G. Bonchev Str. 26, 1113 Sofia, Bulgaria.",bulgaria
7067,International journal of systematic and evolutionary microbiology,"Bacillus cecembensis sp. nov., isolated from the Pindari glacier of the Indian Himalayas.",2008,"Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad 500 007, India.",india
7085,International journal of systematic and evolutionary microbiology,"Leifsonia pindariensis sp. nov., isolated from the Pindari glacier of the Indian Himalayas, and emended description of the genus Leifsonia.",2008,"Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad 500 007, India.",india
7233,Mikrobiologiia,"[Rhodobaca barguzinensis sp. nov., a new alkaliphilic purple nonsulfur bacterium isolated from a soda lake of the Barguzin Valley (Buryat Republic, eastern Siberia)].",2008,"Observatoire Océanologique, Laboratoire d'Océanographie Biologique de Banyuls, Université Pierre et Marie Curie (Paris VI), Institut National des Sciences de l'Univers (INSU), CNRS UMR 7621, BP44, 66651 Banyuls-sur-Mer Cedex, France.",france
7317,Mikrobiologiia,"[Chlorobaculum macestae sp. nov., a new green sulfur bacterium].",2008,"Key Laboratory of Microbiological Engineering of Agricultural Environment, Ministry of Agriculture, Life Sciences College of Nanjing Agricultural University, Nanjing, Jiangsu 210095, PR China.",china
7354,Mikrobiologiia,"[Halomonas mongoliensis sp. nov. and Halomonas kenyensis sp. nov., new haloalkaliphilic denitrifiers capable of reducing N2O, isolated from soda lakes].",2007,"Department of Microbiology and Biotechnology Research, Chungbuk National University, Cheongju 361-763, Korea.",south korea
7356,Emerging infectious diseases,"Bartonella australis sp. nov. from kangaroos, Australia.",2007,"Bio-Measurement Research Group, Institute for Biological Resources and Functions, National Institute of Advanced Industrial Science and Technology (AIST), Central 6, 1-1-1 Higashi, Tsukuba, Ibaraki 305-8566, Japan. y.sekiguchi@aist.go.jp.",japan
7419,International journal of systematic and evolutionary microbiology,"Halobacillus mangrovi sp. nov., a moderately halophilic bacterium isolated from the black mangrove Avicennia germinans.",2008,"Biology Department, Box 9012, University of Puerto Rico, Mayagüez, Puerto Rico 00681.",puerto rico
7432,International journal of systematic and evolutionary microbiology,"Brevibacterium oceani sp. nov., isolated from deep-sea sediment of the Chagos Trench, Indian Ocean.",2008,"Centre for Cellular and Molecular Biology, Uppal Road, Hyderabad 500 007, India.",india
