index	Journal	Article Title	Year	Affiliation	Country
704	International journal of systematic and evolutionary microbiology	Streptococcus azizii sp. nov., isolated from naïve weanling mice.	2017	1​Centers for Disease Control and Prevention, Atlanta, Georgia 30329, USA.	united states of america
705	International journal of systematic and evolutionary microbiology	Ruegeria profundi sp. nov. and Ruegeria marisrubri sp. nov., isolated from the brine-seawater interface at Erba Deep in the Red Sea.	2017	1​Red Sea Research Center, King Abdulah University of Science and Technology, Thuwal Jeddah 23955-6900, Saudi Arabia.	saudi arabia
706	Antonie van Leeuwenhoek	Cupriavidus malaysiensis sp. nov., a novel poly(3-hydroxybutyrate-co-4-hydroxybutyrate) accumulating bacterium isolated from the Malaysian environment.	2018	School of Biological Sciences, Universiti Sains Malaysia, 11800, Penang, Malaysia.	malaysia
707	Current microbiology	Spirosoma harenae sp. nov., a Bacterium Isolated from a Sandy Beach.	2018	School of Applied Biosciences, Kyungpook National University, Daegu, 41566, Republic of Korea.	south korea
708	Antonie van Leeuwenhoek	Larkinella terrae sp. nov., isolated from soil on Jeju Island, South Korea.	2018	School of Applied Biosciences, Kyungpook National University, Daegu, 41566, Republic of Korea.	south korea
709	Antonie van Leeuwenhoek	Deinococcus petrolearius sp. nov. isolated from crude oil recovery water in China.	2018	State Key Laboratory of Heavy Oil Processing and Centre for Bioengineering & Biotechnology, China University of Petroleum, 266580, Qingdao, China. xilj@upc.edu.cn.	china
710	International journal of systematic and evolutionary microbiology	Characterization of Marinomonas algicida sp. nov., a novel algicidal marine bacterium isolated from seawater.	2017	Department of Life Science, College of Natural Sciences, Kyonggi University, Suwon 16227, Republic of Korea.	south korea
711	International journal of systematic and evolutionary microbiology	Parapedobacter defluvii sp. nov., isolated from the sewage treatment packing of a coking chemical plant.	2017	1​State Key Laboratory of Microbial Resources, Institute of Microbiology, Chinese Academy of Sciences, Beijing, 100101, PR China.	china
712	International journal of systematic and evolutionary microbiology	Nonomuraea cavernae sp. nov., a novel actinobacterium isolated from a karst cave sample.	2017	1​State Key Laboratory of Biocontrol and Guangdong Key Laboratory of Plant Resources, School of Life Sciences, Sun Yat-Sen University, Guangzhou 510275, PR China.	china
713	International journal of systematic and evolutionary microbiology	Bacillus ciccensis sp. nov., isolated from maize (Zea mays L.) seeds.	2017	1​China Center of Industrial Culture Collection (CICC), China National Research Institute of Food and Fermentation Industries, Beijing 100015, PR China.	china
714	International journal of systematic and evolutionary microbiology	Polaribacter tangerinus sp. nov., isolated from sediment in a sea cucumber culture pond.	2017	1​State key Laboratory of Microbial Technology, Shandong University, Jinan 250100, PR China.	china
715	International journal of systematic and evolutionary microbiology	Sabulilitoribacter arenilitoris sp. nov., isolated from seashore sand.	2017	Department of Bioscience and Biotechnology, Hankuk University of Foreign Studies, Gyeonggi 17035, Republic of Korea.	south korea
716	International journal of systematic and evolutionary microbiology	Flavobacterium limi sp. nov., isolated from forest mud.	2017	1​Department of Oriental Medicinal Material and Processing, College of Life Science, Kyung Hee University Global Campus, 1732 Deokyoungdaero, Giheung-gu, Yongin-si, Gyeonggi-do 17104, Republic of Korea.	south korea
717	International journal of systematic and evolutionary microbiology	Deinococcus taklimakanensis sp. nov., isolated from desert soil.	2017	1​China Center for Type Culture Collection (CCTCC), College of Life Sciences, Wuhan University, Wuhan 430072, PR China.	china
718	International journal of systematic and evolutionary microbiology	Ciceribacter thiooxidans sp. nov., a novel nitrate-reducing thiosulfate-oxidizing bacterium isolated from sulfide-rich anoxic sediment.	2017	3​South China Botanical Garden, Chinese Academy of Sciences, Guangzhou 510650, PR China.	china
719	International journal of systematic and evolutionary microbiology	Kineococcus terrestris sp. nov. and Kineococcus aureolus sp. nov., isolated from saline sediment.	2017	1​Yunnan Institute of Microbiology, and Life Science Lab Center, School of Life Science, Yunnan University, Kunming 650091, PR China.	china
720	International journal of systematic and evolutionary microbiology	Ponticoccus marisrubri sp. nov., a moderately halophilic marine bacterium of the family Rhodobacteraceae.	2017	1​King Abdullah University of Science and Technology (KAUST), Red Sea Research Center, Thuwal 23955-6900, Saudi Arabia.	saudi arabia
721	International journal of systematic and evolutionary microbiology	Porphyrobacter algicida sp. nov., an algalytic bacterium isolated from seawater.	2017	1​Department of Life Science, College of Natural Sciences, Kyonggi University, Suwon 16227, Republic of Korea.	south korea
722	International journal of systematic and evolutionary microbiology	Puia dinghuensis gen. nov., sp. nov., isolated from monsoon evergreen broad-leaved forest soil.	2017	State Key Laboratory of Biocontrol, School of Life Sciences, Sun Yat-sen University, Guangzhou 510275, PR China.	china
723	International journal of systematic and evolutionary microbiology	Pseudomonas tarimensis sp. nov., an endophytic bacteria isolated from Populus euphratica.	2017	1​College of Life Science and Technology of Xinjiang University, Urumchi, Xinjiang 830046, PR China.	china
724	International journal of systematic and evolutionary microbiology	Paracoccus litorisediminis sp. nov., isolated from a tidal flat.	2017	Department of Food Science and Biotechnology, Sungkyunkwan University, Jangan-gu, Suwon, Republic of Korea.	south korea
725	International journal of systematic and evolutionary microbiology	Characterization of the first rice paddy cluster I isolate, Methyloterricola oryzae gen. nov., sp. nov. and amended description of Methylomagnum ishizawai.	2017	1​Molecular Biology of the Rhizosphere, Institute of Crop Science and Resource Conservation, University of Bonn, Nussallee 13, 53115 Bonn, Germany.	germany
726	International journal of systematic and evolutionary microbiology	Salsuginimonas clara gen. nov., sp. nov., a member of the family Pseudoalteromonadaceae isolated from a brackish river.	2017	1​Department of Marine Biotechnology, National Kaohsiung Marine University, No. 142, Hai-Chuan Rd. Nan-Tzu, Kaohsiung City 811, Taiwan, ROC.	taiwan
727	International journal of systematic and evolutionary microbiology	Paraglaciecola aestuariivivens sp. nov., isolated from a tidal flat.	2017	Department of Food Science and Biotechnology, Sungkyunkwan University, Jangan-gu, Suwon, Republic of Korea.	south korea
728	International journal of systematic and evolutionary microbiology	Chitinimonas lacunae sp. nov., isolated from artificial pond in Korea.	2017	Department of Environmental Sciences, Institute of Environmental Sciences, Hankuk University of Foreign Studies, Yong-In, Republic of Korea.	south korea
729	International journal of systematic and evolutionary microbiology	Lysobacter olei sp. nov., isolated from oil-contaminated soil.	2017	1​Department of Life Science, College of Natural Sciences and Engineering, Kyonggi University, Suwon, Gyeonggi-Do 16227, Republic of Korea.	south korea
730	International journal of systematic and evolutionary microbiology	Seonamhaeicola marinus sp. nov., isolated from marine algae.	2017	1​College of Marine Science, Shandong University, Weihai 264209, PR China.	china
731	International journal of systematic and evolutionary microbiology	Arthrobacter silviterrae sp. nov., isolated from forest soil.	2017	1​Agricultural Microbiology Division, National Institute of Agricultural Sciences, Rural Development Administration, Wanju-gun, Jeollabuk-do 55365, Republic of Korea.	south korea
732	International journal of systematic and evolutionary microbiology	Cohnella algarum sp. nov., isolated from a freshwater green alga Paulinella chromatophora.	2017	Department of Life Science, Chung-Ang University, Seoul 06974, Republic of Korea.	south korea
733	International journal of systematic and evolutionary microbiology	Mycobacterium grossiae sp. nov., a rapidly growing, scotochromogenic species isolated from human clinical respiratory and blood culture specimens.	2017	1​Department of Laboratory Medicine, Yale School of Medicine/Yale-New Haven Hospital, New Haven, CT, USA.	united states of america
734	International journal of systematic and evolutionary microbiology	Planktotalealamellibrachiae sp. nov., isolated from a marine organism in Kagoshima Bay, Japan.	2017	1​Research and Development Center for Marine Biosciences, Japan Agency for Marine-Earth Science and Technology (JAMSTEC), 2-15 Natsushima-cho, Yokosuka 237-0061, Japan.	japan
735	International journal of systematic and evolutionary microbiology	Anoxynatronum buryatiense sp. nov., an anaerobic alkaliphilic bacterium from a low mineralization soda lake in Buryatia, Russia.	2017	Skryabin Institute of Biochemistry and Physiology of Microorganisms, Russian Academy of Sciences, prospect Nauki 5, Pushchino, Moscow region, 142290, Russia.	russia
736	International journal of systematic and evolutionary microbiology	Phaeobacter piscinae sp. nov., a species of the Roseobacter group and potential aquaculture probiont.	2017	1​Department of Biotechnology and Biomedicine, Technical University of Denmark, Matematiktorvet 301, 2800 Kgs Lyngby, Denmark.	denmark
737	International journal of systematic and evolutionary microbiology	Tenacibaculum aestuariivivum sp. nov., isolated from a tidal flat.	2017	Department of Food Science and Biotechnology, Sungkyunkwan University, Jangan-gu, Suwon, Republic of Korea.	south korea
738	International journal of systematic and evolutionary microbiology	Aeribacillus composti sp. nov., a thermophilic bacillus isolated from olive mill pomace compost.	2017	1​Consiglio Nazionale delle Ricerche (C.N.R.), Institute of Biomolecular Chemistry (I.C.B.), Via Campi Flegrei 34, 80078, Pozzuoli, Naples, Italy.	italy
739	International journal of systematic and evolutionary microbiology	Siccirubricoccus deserti gen. nov., sp. nov., a proteobacterium isolated from a desert sample.	2017	1​State Key Laboratory of Biocontrol and Guangdong Provincial Key Laboratory of Plant Resources, School of Life Sciences, Sun Yat-Sen University, Guangzhou 510275, PR China.	china
740	International journal of systematic and evolutionary microbiology	Sediminibacterium roseum sp. nov., isolated from sewage sediment.	2017	State Key Laboratory of Agricultural Microbiology, College of Life Science and Technology, Huazhong Agricultural University, Wuhan, Hubei 430070, PR China.	china
741	International journal of systematic and evolutionary microbiology	Phenylobacterium deserti sp. nov., isolated from desert soil.	2017	1​Yunnan Institute of Microbiology, School of Life Sciences, Yunnan University, Kunming 650091, PR China.	china
742	International journal of systematic and evolutionary microbiology	Sphingobacterium tabacisoli sp. nov., isolated from a tobacco field soil sample.	2017	1​State Key Laboratory for Conservation and Utilization of Bio-Resources in Yunnan, Yunnan University, Kunming 650091, PR China.	china
743	International journal of systematic and evolutionary microbiology	Ancylobacter sonchi sp. nov., a novel methylotrophic bacterium frоm roots of Sonchus arvensis L.	2017	1​Pushchino State Institute of Natural Sciences, Pushchino, Russia.	russia
744	International journal of systematic and evolutionary microbiology	Hymenobacter cavernae sp. nov., isolated from a karst cave.	2017	1​State Key Laboratory of Microbial Resources and Environmental Microbiology Research Center, Institute of Microbiology, Chinese Academy of Sciences, Beijing 100101, PR China.	china
745	International journal of systematic and evolutionary microbiology	Hymenobacter gummosus sp. nov., isolated from a spring.	2017	1​Department of Seafood Science, Laboratory of Microbiology, National Kaohsiung Marine University, No. 142, Hai-Chuan Rd. Nan-Tzu, Kaohsiung City 811, Taiwan, ROC.	taiwan
746	International journal of systematic and evolutionary microbiology	Psychrosphaera aquimarina sp. nov., a marine bacterium isolated from seawater collected from Asan Bay, Republic of Korea.	2017	1​Biological Resource Center/Korean Collection for Type Cultures (KCTC), Korea Research Institute of Bioscience and Biotechnology, Jeongeup, Jeonbuk 56212, Republic of Korea.	south korea
747	International journal of systematic and evolutionary microbiology	Pedobacter solisilvae sp. nov., isolated from forest soil.	2017	Institute of Environmental Sciences and Department of Environmental Sciences, Hankuk University of Foreign Studies, Yong-In, Republic of Korea.	south korea
748	International journal of systematic and evolutionary microbiology	Kordia zosterae sp. nov., isolated from the seaweed, Zostera marina.	2017	1​Department of Biology, College of Life science and Natural Resources, Sunchon National University, Suncheon 57922, Republic of Korea.	south korea
749	International journal of systematic and evolutionary microbiology	Streptomyces roietensis sp. nov., an endophytic actinobacterium isolated from the surface-sterilized stem of jasmine rice, Oryza sativa KDML 105.	2017	1​Department of Biology, Faculty of Science, Mahasarakham University, Maha Sarakham Province, 44150, Thailand.	thailand
750	International journal of systematic and evolutionary microbiology	Roseomonas terricola sp. nov., isolated from agricultural soil.	2017	1​Department of Agricultural Biotechnology and Research Institute of Agriculture and Life Sciences, Seoul National University, Seoul 151-742, Republic of Korea.	south korea
751	Antonie van Leeuwenhoek	Roseomonas aeriglobus sp. nov., isolated from an air-conditioning system.	2018	Department of Life Science, Chung-Ang University, 84, HeukSeok-Ro, Dongjak-Gu, Seoul, 06974, Republic of Korea.	south korea
752	Antonie van Leeuwenhoek	Chitinophaga salinisoli sp. nov., isolated from saline soil.	2018	State Key Laboratory of Agricultural Microbiology and College of Life Science and Technology, Huazhong Agricultural University, Wuhan, 430070, China.	china
753	Antonie van Leeuwenhoek	Proteinivorax hydrogeniformans sp. nov., an anaerobic, haloalkaliphilic bacterium fermenting proteinaceous compounds with high hydrogen production.	2018	Winogradsky Institute of Microbiology, Research Center of Biotechnology of the Russian Academy of Sciences, 33, bld. 2, Leninsky Ave., Moscow, Russia, 119071.	russia
754	Systematic and applied microbiology	"An investigation into the taxonomy of ""Bacillus aminovorans"" and its reclassification to the genus Domibacillus as Domibacillus aminovorans sp. nov."	2017	Microbial Type Culture Collection & Gene Bank (MTCC), CSIR-Institute of Microbial Technology, Sector 39A, Chandigarh 160 036, India.	india
755	Journal of microbiology (Seoul, Korea)	Rhodoferax koreense sp. nov, an obligately aerobic bacterium within the family Comamonadaceae, and emended description of the genus Rhodoferax.	2017	Graduate School of Biotechnology and Ginseng Bank, College of Life Sciences, Kyung Hee University, Yongin, 17104, Republic of Korea.	south korea
756	International journal of systematic and evolutionary microbiology	Elevation of three subspecies of Lonsdalea quercina to species level: Lonsdalea britannica sp. nov., Lonsdalea iberica sp. nov. and Lonsdalea populi sp. nov.	2017	1​The Key Laboratory of State Forestry Administration on Forest Protection, Research Institute of Forest Ecology Environment and Protection, Chinese Academy of Forestry, Beijing 100091, PR China.	china
757	International journal of systematic and evolutionary microbiology	Asprobacter aquaticus gen. nov., sp. nov., a prosthecate alphaproteobacterium isolated from fresh water.	2017	1​College of Biology and the Environment, Co-Innovation Centre for Sustainable Forestry in Southern China, Nanjing Forestry University, Nanjing 210-037, PR China.	china
758	International journal of systematic and evolutionary microbiology	Caldovatus sediminis gen. nov., sp. nov., a moderately thermophilic bacterium isolated from a hot spring.	2017	1​Yunnan Institute of Microbiology, School of Life Sciences, Yunnan University, Kunming 650091, PR China.	china
759	The Journal of antibiotics	Allostreptomyces indica sp. nov., isolated from India.	2017	Academy of Scientific and Innovative Research (AcSIR), and NCIM Resource Center, CSIR-National Chemical Laboratory, NCIM Resource Center, Pune, India.	india
760	International journal of systematic and evolutionary microbiology	Lechevalieria rhizosphaerae sp. nov., a novel actinomycete isolated from rhizosphere soil of wheat (Triticum aestivum L.) and emended description of the genus Lechevalieria.	2017	1​Key Laboratory of Agriculture Biological Functional Gene of Heilongjiang Provincial Education Committee, Northeast Agricultural University, No. 59 Mucai Street, Xiangfang District, Harbin 150030, PR China.	china
761	International journal of systematic and evolutionary microbiology	Ramlibacter monticola sp. nov., isolated from forest soil.	2017	Department of Life Science, College of Natural Sciences, Kyonggi University, Suwon, Gyeonggi-Do 16227, Republic of Korea.	south korea
762	International journal of systematic and evolutionary microbiology	Acidocella aquatica sp. nov., a novel acidophilic heterotrophic bacterium isolated from a freshwater lake.	2017	1​The Institute of Low Temperature Science, Hokkaido University, Sapporo, Hokkaido, Japan.	japan
763	International journal of systematic and evolutionary microbiology	Corynebacterium gottingense sp. nov., isolated from a clinical patient.	2017	1​Leibniz-Institut DSMZ - German Collection of Microorganisms and Cell Cultures, Inhoffenstrasse 7b, 38124 Braunschweig, Germany.	germany
764	International journal of systematic and evolutionary microbiology	Paenibacillus albidus sp. nov., isolated from grassland soil.	2017	1​School of Life Science, Beijing Institute of Technology, Beijing 100081, PR China.	china
765	International journal of systematic and evolutionary microbiology	Quisquiliibacterium transsilvanicum gen. nov., sp. nov., a novel betaproteobacterium isolated from a waste-treating bioreactor.	2017	1​Department of Microbiology, ELTE Eötvös Loránd University, Pázmány Péter stny. 1/c, 1117 Budapest, Hungary.	hungary
766	International journal of systematic and evolutionary microbiology	Caecibacterium sporoformans gen. nov., sp. nov., an anaerobic, butyrate-producing, spore-forming bacterium isolated from chicken caecum.	2017	1​Department of Pathology, Bacteriology and Avian Diseases, Research Group Veterinary Public Health and Zoonoses, Faculty of Veterinary Medicine, Ghent University, Salisburylaan 133, B-9820 Merelbeke, Belgium.	belgium
767	International journal of systematic and evolutionary microbiology	Arenibacter antarcticus sp. nov., isolated from marine sediment.	2017	State Key Laboratory of Applied Microbiology Southern China, Guangdong Provincial Key Laboratory of Microbial Culture Collection and Application, Guangdong Microbial Culture Collection Center (GDMCC), Guangdong Institute of Microbiology, Guangzhou 510070, PR China.	china
768	International journal of systematic and evolutionary microbiology	Saccharomonospora colocasiae sp. nov., an actinomycete isolated from the rhizosphere of Colocasia esculenta.	2017	1​Department of Biotechnology, Faculty of Science, Mahidol University, Bangkok 10400, Thailand.	thailand
769	International journal of systematic and evolutionary microbiology	Salirhabdus salicampi sp. nov., a halotolerant bacterium isolated from a saltern.	2017	1​Department of Microbial and Nano Materials, College of Science and Technology, Mokwon University, 88 Doanbuk-ro, Seo-gu, Daejeon 35349, Republic of Korea.	south korea
770	International journal of systematic and evolutionary microbiology	Sphingobacterium humi sp. nov., isolated from soil.	2017	1​Department of Life Science, Chung-Ang University, Seoul 06974, Republic of Korea.	south korea
771	International journal of systematic and evolutionary microbiology	Streptococcus ovuberis sp. nov., isolated from a subcutaneous abscess in the udder of a sheep.	2017	1​Centro de Vigilancia Sanitaria Veterinaria (VISAVET), Universidad Complutense, 28040 Madrid, Spain.	spain
772	International journal of systematic and evolutionary microbiology	Sphingomonas agri sp. nov., a bacterium isolated from soil.	2017	1​Department of Biotechnology, Hankyong National University, 327 Chungang-no Anseong-si, Kyonggi-do 17579, Republic of Korea.	south korea
773	International journal of systematic and evolutionary microbiology	Gellertiella hungarica gen. nov., sp. nov., a novel bacterium of the family Rhizobiaceae isolated from a spa in Budapest.	2017	1​Department of Microbiology, Faculty of Science, ELTE Eötvös Loránd University, Pázmány Péter sétány 1/C, H-1117 Budapest, Hungary.	hungary
774	International journal of systematic and evolutionary microbiology	Aridibacter nitratireducens sp. nov., a member of the family Blastocatellaceae, class Blastocatellia, isolated from an African soil.	2017	1​Department of Microbial Ecology and Diversity Research, Leibniz Institute DSMZ - German Collection of Micoorganisms and Cell Cultures, Braunschweig, Germany.	germany
775	International journal of systematic and evolutionary microbiology	Bacteroides koreensis sp. nov. and Bacteroides kribbi sp. nov., two new members of the genus Bacteroides.	2017	1​ABS Research Support Center/Korean Collection for Type Cultures, KRIBB, 125 Gwahak-ro, Yuseong-gu, Daejeon 305-806, Republic of Korea.	south korea
776	International journal of systematic and evolutionary microbiology	Edaphobacter acidisoli sp. nov., an acidobacterium isolated from forest soil.	2017	State Key Laboratory of Biocontrol, School of Life Sciences, Sun Yat-sen University, Guangzhou 510275, PR China.	china
777	International journal of systematic and evolutionary microbiology	Rhabdanaerobium thermarum gen. nov., sp. nov., a novel anaerobic bacterium isolated from a hot spring.	2017	State Key Laboratory of Biocontrol and Guangdong Provincial Key Laboratory of Plant Resources, School of Life Sciences, Sun Yat-Sen University, Guangzhou, 510275, PR China.	china
778	International journal of systematic and evolutionary microbiology	Ornithinimicrobium flavum sp. nov., isolated from the leaf of Paris polyphylla.	2017	1​Institute of Medicinal Biotechnology, Chinese Academy of Medical Sciences & Peking Union Medical College, Beijing 100050, PR China.	china
779	International journal of systematic and evolutionary microbiology	Marinobacter salexigens sp. nov., isolated from marine sediment.	2017	1​College of Marine Science, Shandong University, Weihai 264209, PR China.	china
780	International journal of systematic and evolutionary microbiology	Lactococcus petauri sp. nov., isolated from an abscess of a sugar glider.	2017	1​Department of Population Medicine and Diagnostic Sciences, Cornell University, Ithaca, NY 14853, USA.	united states of america
781	International journal of systematic and evolutionary microbiology	Wohlfahrtiimonas populi sp. nov., isolated from symptomatic bark of a Populus × euramericana canker.	2017	1​The Key Laboratory of State Forestry Administration on Forest Protection, Research Institute of Forest Ecology Environment and Protection, Chinese Academy of Forestry, Beijing 100091, PR China.	china
782	International journal of systematic and evolutionary microbiology	Ancylobacter pratisalsi sp. nov. with plant growth promotion abilities from the rhizosphere of Plantago winteri Wirtg.	2017	Institute of Applied Microbiology, Justus-Liebig University Giessen, 35392 Giessen, Germany.	germany
784	Antonie van Leeuwenhoek	Verrucosispora rhizosphaerae sp. nov., isolated from mangrove rhizosphere soil.	2018	Institute of Tropical Bioscience and Biotechnology, Chinese Academy of Tropical Agricultural Sciences, Haikou, 571101, People's Republic of China.	china
785	Antonie van Leeuwenhoek	Uliginosibacterium sangjuense sp. nov., isolated from sediment of the Nakdong River.	2018	Bacterial Resources Research Division, Freshwater Bioresources Research Bureau, Nakdonggang National Institute of Biological Resources (NNIBR), 137, Donam 2-gil, Sangju-si, Gyeongsangbuk-do, 37242, Republic of Korea.	south korea
786	International journal of systematic and evolutionary microbiology	Psychrobacillus lasiicapitis sp. nov., isolated from the head of an ant (Lasius fuliginosus).	2017	1​Key Laboratory of Agriculture Biological Functional Gene of Heilongjiang Provincial Education Committee, Northeast Agricultural University, No. 59 Mucai Street, Xiangfang District, Harbin 150030, PR China.	china
787	International journal of systematic and evolutionary microbiology	Photobacterium toruni sp. nov., a bacterium isolated from diseased farmed fish.	2017	1​Departamento de Microbiología, Facultad de Ciencias, Universidad de Málaga, 29071 Málaga, Spain.	spain
788	International journal of systematic and evolutionary microbiology	Dokdonia lutea sp. nov., isolated from Sargassum fulvellum seaweed.	2017	1​Department of Biology, College of Life Science and Natural Resources, Sunchon National University, Suncheon 57922, Republic of Korea.	south korea
789	International journal of systematic and evolutionary microbiology	Neisseria dumasiana sp. nov. from human sputum and a dog's mouth.	2017	1​Wadsworth Center, Bacteriology Laboratory, New York State Department of Health, PO Box 22002, Albany, NY 12201, USA.	united states of america
790	International journal of systematic and evolutionary microbiology	Paracoccus sordidisoli sp. nov., isolated from an agricultural field contaminated with hexachlorocyclohexane isomers.	2017	Molecular Biology Laboratory, Department of Zoology, University of Delhi, Delhi 110007, India.	india
791	International journal of systematic and evolutionary microbiology	Sphingomonas antarctica sp. nov., isolated from Antarctic tundra soil.	2017	1​China Center for Type Culture Collection (CCTCC), College of Life Sciences, Wuhan University, Wuhan 430072, PR China.	china
792	International journal of systematic and evolutionary microbiology	Elstera cyanobacteriorum sp. nov., a novel bacterium isolated from cyanobacterial aggregates in a eutrophic lake.	2017	1​State Key Laboratory of Lake Science and Environment, Nanjing Institute of Geography and Limnology, Chinese Academy of Sciences, Nanjing, PR China.	china
793	International journal of systematic and evolutionary microbiology	Massilia buxea sp. nov., isolated from a rock surface.	2017	School of Life Science, Anhui Agricultural University, Hefei 230036, PR China.	china
794	International journal of systematic and evolutionary microbiology	Flavobacterium chuncheonense sp. nov. and Flavobacterium luteum sp. nov., isolated from a freshwater lake.	2017	Department of Biological Sciences, Inha University, Incheon 22212, Republic of Korea.	south korea
795	International journal of systematic and evolutionary microbiology	Loktanella acticola sp. nov., isolated from seawater.	2017	Department of Food Science and Biotechnology, Sungkyunkwan University, Jangan-gu, Suwon, Republic of Korea.	south korea
796	International journal of systematic and evolutionary microbiology	Ramlibacter alkalitolerans sp. nov., alkali-tolerant bacterium isolated from soil of ginseng.	2017	Department of Systems Biotechnology, Chung-Ang University, Anseong 456-756, Republic of Korea.	south korea
797	International journal of systematic and evolutionary microbiology	Flavimarina flava sp. nov., isolated from Salicornia herbacea.	2017	1​Department of Bioengineering and Nano-Bioengineering, Graduate School of Incheon National University, Incheon 22012, Republic of Korea.	south korea
798	International journal of systematic and evolutionary microbiology	Dyella agri sp. nov., isolated from reclaimed grassland soil.	2017	Department of Life Science, College of Natural Sciences and Engineering, Kyonggi University, Suwon, Gyeonggi-Do 16227, Republic of Korea.	south korea
799	International journal of systematic and evolutionary microbiology	Spirosoma carri sp. nov., isolated from an automobile air conditioning system.	2017	1​Department of Agricultural Biotechnology and Research Institute of Agriculture and Life Sciences, Seoul National University, Seoul 151-742, Republic of Korea.	south korea
800	International journal of systematic and evolutionary microbiology	Marivibrio halodurans gen. nov., sp. nov., a marine bacterium in the family Rhodospirillaceae isolated from underground rock salt.	2017	1​College of Life Sciences, Anhui Normal University, No.1 Beijing East Road, Wuhu 241000, Anhui, PR China.	china
801	International journal of systematic and evolutionary microbiology	Desertibacillus haloalkaliphilus gen. nov., sp. nov., isolated from a saline desert.	2017	1​UGC-CAS Department of Biosciences, Saurashtra University, Rajkot-360005, Gujarat, India.	india
802	International journal of systematic and evolutionary microbiology	Flavobacterium dispersum sp. nov., isolated from a freshwater spring.	2017	1​Laboratory of Microbiology, Department of Seafood Science, National Kaohsiung Marine University, No. 142, Hai-Chuan Rd. Nan-Tzu, Kaohsiung City 811, Taiwan, ROC.	taiwan
803	International journal of systematic and evolutionary microbiology	Natronotalea proteinilytica gen. nov., sp. nov. and Longimonas haloalkaliphila sp. nov., extremely haloalkaliphilic members of the phylum Rhodothermaeota from hypersaline alkaline lakes.	2017	1​Winogradsky Institute of Microbiology, Research Centre of Biotechnology, Russian Academy of Sciences, Moscow, Russia.	russia
804	International journal of systematic and evolutionary microbiology	Edaphobaculum flavum gen. nov., sp. nov., a member of family Chitinophagaceae, isolated from grassland soil.	2017	State Key Laboratory of Agricultural Microbiology, College of Life Science and Technology, Huazhong Agricultural University, Wuhan, Hubei 430070, PR China.	china
805	International journal of systematic and evolutionary microbiology	Bacillus solisilvae sp. nov., isolated from forest soil.	2017	1​Key Laboratory of Agriculture Biological Functional Gene of Heilongjiang Provincial Education Committee, Northeast Agricultural University, Harbin 150030, PR China.	china
806	International journal of systematic and evolutionary microbiology	Mycobacterium aquiterrae sp. nov., a rapidly growing bacterium isolated from groundwater.	2017	1​Institute of Microbial Ecology and Resources, Mokwon University, 88 Doanbuk-ro, Seo-gu, Daejeon 302-318, Republic of Korea.	south korea
807	International journal of systematic and evolutionary microbiology	Erythrobacter arachoides sp. nov., isolated from ice core.	2017	1​Key Laboratory of Alpine Ecology and Biodiversity, Institute of Tibetan Plateau Research, Chinese Academy of Sciences, Beijing 100101, PR China.	china
808	International journal of systematic and evolutionary microbiology	Streptomyces xylanilyticus sp. nov., isolated from soil.	2017	1​Department of Microbiology, Faculty of Science, King Mongkut's University of Technology Thonburi, Bangkok 10140, Thailand.	thailand
809	International journal of systematic and evolutionary microbiology	Longispora urticae sp. nov., isolated from rhizosphere soil of Urtica urens L., and emended descriptions of the species Longisporaalbida and Longisporafulva.	2017	1​Key Laboratory of Agriculture Biological Functional Gene of Heilongjiang Provincial Education Committee, Northeast Agricultural University, 59 Mucai Street, Xiangfang District, Harbin 150030, PR China.	china
810	International journal of systematic and evolutionary microbiology	Salinifilum gen. nov., with description of Salinifilum proteinilyticum sp. nov., an extremely halophilic actinomycete isolated from Meighan wetland, Iran, and reclassification of Saccharopolyspora aidingensis as Salinifilum aidingensis comb. nov. and Saccharopolyspora ghardaiensis as Salinifilum ghardaiensis comb. nov.	2017	1​Microorganisms Bank, Iranian Biological Resource Centre (IBRC), ACECR, Tehran, Iran.	iran
811	International journal of systematic and evolutionary microbiology	Algoriphagus marisflavi sp. nov., isolated from water of an estuary environment.	2017	Department of Food Science and Biotechnology, Sungkyunkwan University, Jangan-gu, Suwon, Republic of Korea.	south korea
812	International journal of systematic and evolutionary microbiology	Allobranchiibius huperziae gen. nov., sp. nov., a member of Dermacoccaceae isolated from the root of a medicinal plant Huperzia serrata (Thunb.).	2017	Institute of Medicinal Biotechnology, Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing 100050, PR China.	china
813	International journal of systematic and evolutionary microbiology	Paenibacillus arcticus sp. nov., isolated from Arctic soil.	2017	1​Division of Bioengineering, Incheon National University, Incheon 22012, Republic of Korea.	south korea
814	International journal of systematic and evolutionary microbiology	Marmoricola endophyticus sp. nov., an endophytic actinobacterium isolated from Thespesia populnea.	2017	1​Institute of Medicinal Biotechnology, Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing 100050, PR China.	china
815	International journal of systematic and evolutionary microbiology	Hydrogenophaga soli sp. nov., isolated from rice field soil.	2017	Department of Life Science, Dongguk University-Seoul, Goyang 10326, Republic of Korea.	south korea
816	International journal of systematic and evolutionary microbiology	Frankia asymbiotica sp. nov., a non-infective actinobacterium isolated from Morella californica root nodule.	2017	1​School of Biology, Newcastle University, Ridley Building 2, Newcastle upon Tyne, NE1 7RU, UK.	united kingdom
